caseId,module,expectedIntent,expectedSource,turnCount,actualAnswer,expectedAnswer,dialogId,answerSource,elapsedMs,availabilityPass,japaneseTonePass,keywordCoverage,overallStatus,failureReason
"QA-032","QAに基づく質問・回答","QA No.47 の問い合わせ","Excel QA","1","管理者権限にて解除いたしますので、お手数ですが業務管理部までLINEWORKSまたはメールにてご連絡ください。","管理者権限にて解除いたしますので、お手数ですが業務管理部までLINEWORKSまたはメールにてご連絡ください。","1017675165233503216","QA","761","true","true","100","review","manual_review_required_without_llm_judge"
"QA-033","QAに基づく質問・回答","QA No.48 の問い合わせ","Excel QA","1","SJ-NETに接続できない場合の確認方法は、LINEWORKSの掲示板に掲載されています。「SJ-NETの登録について」という掲示板をご確認ください。","接続方法はLINEWORKSの掲示板に掲載しておりますので、「SJ-NETの登録について」という掲示板をご確認ください。","1017675165233503217","","2737","true","true","50","review","manual_review_required_without_llm_judge"
"QA-034","QAに基づく質問・回答","QA No.49 の問い合わせ","Excel QA","1","手続き方法はLINEWORKSの掲示板に掲載しておりますので、「NTT共同ゲートウェイ」という掲示板をご確認ください。","手続き方法はLINEWORKSの掲示板に掲載しておりますので、「NTT共同ゲートウェイ」という掲示板をご確認ください。","1017675165233503218","QA","820","true","true","100","review","manual_review_required_without_llm_judge"
"QA-035","QAに基づく質問・回答","QA No.50 の問い合わせ","Excel QA","1","移行方法はLINEWORKSの掲示板に掲載しておりますので、「TNetの接続切替について」という掲示板をご確認ください。","移行方法はLINEWORKSの掲示板に掲載しておりますので、「TNetの接続切替について」という掲示板をご確認ください。","1017675165233503219","QA","776","true","true","100","review","manual_review_required_without_llm_judge"
"QA-036","QAに基づく質問・回答","QA No.51 の問い合わせ","Excel QA","1","業務管理部にてリセット対応いたしますので、お手数ですが個別に業務管理部までLINEWORKSまたはメールにてご連絡ください。","業務管理部にてリセット対応いたしますので、お手数ですが個別に業務管理部までLINEWORKSまたはメールにてご連絡ください。","1017675165233503220","QA","782","true","true","100","review","manual_review_required_without_llm_judge"
"QA-037","QAに基づく質問・回答","QA No.52 の問い合わせ","Excel QA","1","お手数ですが、はなさく生命のソリシターさんに直接ご確認ください。","お手数ですが、はなさく生命のソリシターさんに直接ご確認ください。","1017675165233503221","QA","780","true","true","100","review","manual_review_required_without_llm_judge"
"QA-038","QAに基づく質問・回答","QA No.53 の問い合わせ","Excel QA","1","更新の流れはLINEWORKSの掲示板に掲載しておりますので、「NTT共同ゲートウェイ」という掲示板をご確認ください。","更新の流れはLINEWORKSの掲示板に掲載しておりますので、「NTT共同ゲートウェイ」という掲示板をご確認ください。","1017675165233503222","QA","793","true","true","100","review","manual_review_required_without_llm_judge"
"QA-039","QAに基づく質問・回答","QA No.56 の問い合わせ","Excel QA","1","お手数ですが、セールスフォースの問合せフォームからお問い合わせください。","お手数ですが、セールスフォースの問合せフォームからお問い合わせください。","1017675165233503223","QA","782","true","true","100","review","manual_review_required_without_llm_judge"
"QA-040","QAに基づく質問・回答","QA No.57 の問い合わせ","Excel QA","1","T-Netヘルプデスクへ直接お問い合わせください。電話番号は0120-950-601です。携帯からかける場合は03-6700-9000です。","T-Netヘルプデスクへ直接お問い合わせください。電話番号は0120-950-601です。携帯からかける場合は03-6700-9000です。","1017675165233503224","QA","795","true","true","100","review","manual_review_required_without_llm_judge"
"QA-041","QAに基づく質問・回答","QA No.58 の問い合わせ","Excel QA","1","メットライフのエクストラネットIDが未登録、または削除されていると、共同ゲートウェイへの登録が外れることがあります。業務管理部からメットライフへ再登録を依頼しますので、お手数ですが業務管理部の関澤までご連絡ください。タイミングによって登録までに2週間程度かかる場合があります。","メットライフのエクストラネットIDが未登録、または削除されていると、共同ゲートウェイへの登録が外れることがあります。業務管理部からメットライフへ再登録を依頼しますので、お手数ですが業務管理部の関澤までご連絡ください。タイミングによって登録までに2週間程度かかる場合があります。","1017675165233503225","QA","779","true","true","100","review","manual_review_required_without_llm_judge"
"QA-042","QAに基づく質問・回答","QA No.59 の問い合わせ","Excel QA","1","更新の流れはLINEWORKSの掲示板に掲載しておりますので、「NTT共同ゲートウェイ」という掲示板をご確認ください。","更新の流れはLINEWORKSの掲示板に掲載しておりますので、「NTT共同ゲートウェイ」という掲示板をご確認ください。","1017675165233503226","QA","802","true","true","100","review","manual_review_required_without_llm_judge"
"QA-043","QAに基づく質問・回答","QA No.60 の問い合わせ","Excel QA","1","まずセールスフォースに正しく登録されているか、名前などを検索しご確認ください。登録が確認できない場合は、業務管理部までお問い合わせください。","まずセールスフォースに正しく登録されているか、名前などを検索しご確認ください。登録が確認できない場合は、業務管理部までお問い合わせください。","1017675165233503227","QA","752","true","true","100","review","manual_review_required_without_llm_judge"
"QA-044","QAに基づく質問・回答","QA No.61 の問い合わせ","Excel QA","1","サポート詐欺の可能性が高いです。画面に表示された電話番号には絶対に連絡せず、指示にも従わないでください。PCをシャットダウンせずにネットの接続を切り、至急業務管理部の豊田までご連絡ください。ウイルススキャン等の対応をご案内します。","サポート詐欺の可能性が高いです。画面に表示された電話番号には絶対に連絡せず、指示にも従わないでください。PCをシャットダウンせずにネットの接続を切り、至急業務管理部の豊田までご連絡ください。ウイルススキャン等の対応をご案内します。","1017675165233503228","QA","809","true","true","100","review","manual_review_required_without_llm_judge"
"QA-045","QAに基づく質問・回答","QA No.62 の問い合わせ","Excel QA","1","至急業務管理部の豊田までご連絡ください。PC感染時の対応手順をご案内・連携いたします。","至急業務管理部の豊田までご連絡ください。PC感染時の対応手順をご案内・連携いたします。","1017675165233503229","QA","748","true","true","100","review","manual_review_required_without_llm_judge"
"QA-046","QAに基づく質問・回答","QA No.63 の問い合わせ","Excel QA","1","算出方法はLINEWORKSの掲示板に掲載しておりますので、「R&C版　継続率」という掲示板名をご確認ください。","算出方法はLINEWORKSの掲示板に掲載しておりますので、「R&C版 継続率」という掲示板名をご確認ください。","1017675165233503230","QA","821","true","true","100","review","manual_review_required_without_llm_judge"
"QA-047","QAに基づく質問・回答","QA No.65 の問い合わせ","Excel QA","1","本人契約については手数料をお支払いしていないため、戻入も発生いたしません。","本人契約については手数料をお支払いしていないため、戻入も発生いたしません。","1017675165233503231","QA","802","true","false","100","review","manual_review_required_without_llm_judge"
"QA-048","QAに基づく質問・回答","QA No.66 の問い合わせ","Excel QA","1","戻入のある保険会社については継続率に影響します。第一フロンティア生命以外は戻入があります。保険会社・商品によって戻入の期間が異なりますので、詳細は各社のソリシターさんにご確認ください。","戻入のある保険会社については継続率に影響します。第一フロンティア生命以外は戻入があります。保険会社・商品によって戻入の期間が異なりますので、詳細は各社のソリシターさんにご確認ください。","1017675165233503232","QA","807","true","true","100","review","manual_review_required_without_llm_judge"
"QA-049","QAに基づく質問・回答","QA No.68 の問い合わせ","Excel QA","1","マネーフォワード(MF)にて経費精算をお願いいたします。","マネーフォワード(MF)にて経費精算をお願いいたします。","1017675165233503233","QA","758","true","true","100","review","manual_review_required_without_llm_judge"
"QA-050","QAに基づく質問・回答","QA No.70 の問い合わせ","Excel QA","1","LINEWORKSの掲示板にて「ノベルティ」と検索し、最新のものをご確認ください。掲示板内の申請フォームから申込ができます。","LINEWORKSの掲示板にて「ノベルティ」と検索し、最新のものをご確認ください。掲示板内の申請フォームから申込ができます。","1017675165233503234","QA","790","true","true","100","review","manual_review_required_without_llm_judge"
"QA-051","QAに基づく質問・回答","QA No.71 の問い合わせ","Excel QA","1","毎月20日までに申請されたものが、翌月5営業日までに納品されます。","毎月20日までに申請されたものが、翌月5営業日までに納品されます。","1017675165233503235","QA","793","true","true","100","review","manual_review_required_without_llm_judge"
"QA-052","QAに基づく質問・回答","QA No.73 の問い合わせ","Excel QA","1","LINEWORKSの掲示板に掲載しておりますので、「募集関連行為に関する社内規則」という掲示板をご確認ください。","LINEWORKSの掲示板に掲載しておりますので、「募集関連行為に関する社内規則」という掲示板をご確認ください。","1017675165233503236","QA","774","true","true","100","review","manual_review_required_without_llm_judge"
"QA-053","QAに基づく質問・回答","QA No.74 の問い合わせ","Excel QA","1","別会社の場合は二重線での訂正ではなく、契約書の巻き直しが必要です。","別会社の場合は二重線での訂正ではなく、契約書の巻き直しが必要です。","1017675165233503237","QA","779","true","true","100","review","manual_review_required_without_llm_judge"
"QA-054","QAに基づく質問・回答","QA No.77 の問い合わせ","Excel QA","1","申し訳ございませんが、査定の変更はいたしかねます。ご了承ください。","申し訳ございませんが、査定の変更はいたしかねます。ご了承ください。","1017675165233503238","","2415","true","true","100","review","manual_review_required_without_llm_judge"
"QA-055","QAに基づく質問・回答","QA No.84 の問い合わせ","Excel QA","1","マネーフォワード勤怠を使用して申請をすることができます。LINEWORKSの掲示板にて、「休暇取得申請方法」という掲示板名の内容を参照してください。ログインしていただきWEB上で申請をお願いします。","マネーフォワード勤怠を使用して申請をすることができます。LINEWORKSの掲示板にて、「休暇取得申請方法」という掲示板名の内容を参照してください。ログインしていただきWEB上で申請をお願いします。","1017675165233503239","QA","775","true","true","100","review","manual_review_required_without_llm_judge"
"TK-001","文書に基づく追加質問・回答","休暇申請後の日付変更に関する文書追問","文書（経営管理部：クラウド勤怠 操作マニュアル 休暇申請）","2","いいえ、再申請では日付だけ変更することはできません。  

クラウド勤怠のマニュアルでは、  

● 休暇申請を別な日に変更する場合  
「再申請」では日付の変更はできないため、「削除」をクリックし、一旦削除して、別途新しく申請をしてください。","休暇申請を別の日に変更する場合、再申請では日付の変更はできません。申請ワークフローから該当申請を一度削除し、別途新しく申請してください。承認済みの場合は、承認者に削除を依頼してください。","1017675165233503241","","3714","true","true","0","review","manual_review_required_without_llm_judge"
"TK-002","文書に基づく追加質問・回答","経費精算の締日とログインに関する文書追問","文書（経営管理部：経費精算）","2","経費精算の申請期限は、毎月5営業日以内に申請となっています。  

マネーフォワードクラウド経費のログインIDは会社のメールアドレスで、パスワードはご自身で設定した初期パスワードです。  
パスワードが分からない場合は、ご自身でパスワードリセットを行ってください。管理者側でリセットすることはできません。  

不明点があれば、経営管理部までお問い合わせをお願いいたします。","経費精算は毎月5営業日以内に、マネーフォワードクラウド経費から申請してください。ログインIDは会社のメールアドレスです。パスワードが分からない場合は、ご自身でリセットしてください。管理者側でリセットすることはできません。","1017675165233503243","","5100","true","true","33","review","manual_review_required_without_llm_judge"
"TK-003","文書に基づく追加質問・回答","健康診断の受診機関と立替精算に関する文書追問","文書（経営管理部：健康診断について）","2","リストにない機関で受診していただいて大丈夫です。  
その場合は一度ご自身でお支払いのうえ、領収証を必ずもらってきてください。  

経費精算していただけますが、上限は  
協会けんぽの自己負担額：5282円までになります。","基本的には健診機関リストから選択してください。リストにない場合は協会けんぽのホームページから実施機関を探して受診できます。立替払いをした場合は領収証を必ず受け取り、経費精算をしてください。","1017675165233503245","","4211","true","true","0","review","manual_review_required_without_llm_judge"
"TK-004","文書に基づく追加質問・回答","ベネフィットステーション初期設定の文書追問","文書（経営管理部：ベネフィットステーション）","2","登録が完了してメールが届いたら、メールの一番下にある「認証キー2」をクリックして、最初の設定を行ってください。","登録が終わると届くメールの一番下にある「認証キー2」をクリックして設定してください。その後、団体ID、認証キー1、ご自身で決めた認証キー2を入力し、ベネアカウントの登録へ進みます。","1017675165233503247","","3837","true","true","0","review","manual_review_required_without_llm_judge"
"TK-005","文書に基づく追加質問・回答","確定拠出年金の掛金停止可否に関する文書追問","文書（経営管理部：加入希望者向け 確定拠出年金加入について）","2","確定拠出年金の掛金は、一度積立を開始すると  
途中で掛金を停止したり、掛金額を0円にすることはできません。

主な注意点としては、次のとおりです。  
・当社の確定拠出年金制度の資格喪失年齢は65歳で、それまでは掛金の積立が続きます。  
・運用商品はご自身の判断と責任で選択していただきます。  
・老齢給付金は資格喪失年齢から受給でき、遅くとも70歳までに受給開始が必要です。  
・加入期間など一定の要件を満たせば、脱退一時金として受け取れる場合があります。  
・中途退職した場合は、ご自宅に届く書類で6か月以内に資産移換の手続きをする必要があります。6か月を過ぎると国民年金基金連合会に強制移換され、個人型への移換に別途手数料がかかります。

","一旦、確定拠出年金掛金の積立をした方は、掛金を停止すること、つまり掛金額を0円にすることはできません。また、運用商品は加入者自身の自己責任で選択します。","1017675165233503250","","5603","true","true","0","review","manual_review_required_without_llm_judge"
"TK-006","文書に基づく追加質問・回答","掛金変更申請書の手続き方法に関する文書追問","文書（経営管理部：加入者向け 掛金変更申請書）","2","掛金変更の手続きは、申請書を紙で直接提出する方法ではありません。  
LINEWORKSの掲示板「加入者向け、掛金変更申請書」に掲載されている

【加入者向け】掛金変更申請書  
確定拠出年金をもう始めていらっしゃる方で各種変更がある方はこちらのフォームにご記入ください。  
確定拠出年金 変更申請書  
回答期限 2025.09.04 09:30 \~ 2026.09.03 09:30 (GMTJST)  
アンケートに回答する  
確定拠出年金制度

こちらの「アンケートに回答する」ボタンからフォームに入力して申請する方法になります。","「加入者向け、掛金変更申請書」の掲示板内容を確認し、掲示板内にあるアンケートへの回答を通じて手続きしてください。","1017675165233503252","","4812","true","true","33","review","manual_review_required_without_llm_judge"
"TK-007","文書に基づく追加質問・回答","結婚時の身上変更手続きに関する文書追問","文書（経営管理部：結婚に伴う各種申請）","2","結婚に伴って姓や住所が変わる場合、マネーフォワードクラウド人事管理からは、次の申請をお願いします。

・改姓手続き  
・住所・通勤経路変更  

あわせて、扶養に関係がある場合は「扶養追加（または扶養家族の追加・削除）」もマネーフォワードから申請してください。","結婚に伴い改姓した場合は改姓手続き、必要に応じて口座変更届、引越しをした場合は住所・通勤経路変更、扶養追加などをマネーフォワードクラウド人事管理から申請してください。","1017675165233503254","","4214","true","true","0","review","manual_review_required_without_llm_judge"
"TK-008","文書に基づく追加質問・回答","出産時の扶養追加申請に関する文書追問","文書（経営管理部：出産に伴う各種申請）","2","出産に伴って扶養追加の手続きをする場合は、マネーフォワードクラウド人事管理から申請します。

ログインURLは  
https://employee.moneyforward.com/login  
ですので、マネーフォワードIDでログインして、「扶養家族の追加・削除」からお手続きをお願いします。","扶養追加の手続きを行う場合は、マネーフォワードクラウド人事管理から申請してください。ログイン後、左メニューの「申請」から「＋作成」をクリックし、申請したい項目を選択して入力・提出します。","1017675165233503256","","3996","true","true","0","review","manual_review_required_without_llm_judge"
"TK-009","文書に基づく追加質問・回答","小学校入学祝いの金額と申請期限に関する文書追問","文書（経営管理部：小学校入学祝い）","2","小学校入学のお祝い金は、1回あたり10,000円です。  
申請期限は「入学した年度内」で、例えば2025年4月入学の場合は、2026年3月31日までに申請が必要です。","小学校入学祝いはライフイベント手当として10,000円です。申請期限は入学した年度内です。たとえば2025年4月入学の場合は、2026年3月31日までに申請してください。","1017675165233503258","","4073","true","true","20","review","manual_review_required_without_llm_judge"
